id,width,height,file_name,timestamp,identity,date,year,split_closed,split_closed_random,split_open
1,2000,1333,images/t001/CAluWEgwPX.JPG,2014-07-14 14:49:45,t001,2014-07-14,2014,test,test,train
2,2000,1333,images/t001/EKyrFKHQzh.JPG,2014-07-14 14:48:49,t001,2014-07-14,2014,test,train,train
3,2000,1333,images/t001/ELAvEqeXxT.JPG,2014-07-14 14:49:48,t001,2014-07-14,2014,test,train,train
4,2000,1124,images/t001/IxRLFwTGCv.JPG,2010-07-02 14:09:40,t001,2010-07-02,2010,train,test,train
5,2000,1333,images/t001/LKCJAhfLBJ.JPG,2014-07-14 14:48:28,t001,2014-07-14,2014,test,test,train
6,2000,1333,images/t001/LZystXlIqe.JPG,2014-07-14 14:48:35,t001,2014-07-14,2014,test,test,train
7,2000,1333,images/t001/OiaMESWPyh.JPG,2014-07-14 14:52:17,t001,2014-07-14,2014,test,train,train
8,1124,2000,images/t001/VMyJozldvy.jpg,2010-07-02 00:00:00,t001,2010-07-02,2010,train,test,train
9,2000,1124,images/t001/XhbkFIOvZr.JPG,2010-07-02 14:09:52,t001,2010-07-02,2010,train,test,train
10,2000,1124,images/t001/ZKnMahXQgJ.JPG,2010-07-02 14:08:14,t001,2010-07-02,2010,train,train,train
11,2000,1124,images/t001/ZkWKNtWbVK.JPG,2010-07-02 14:07:16,t001,2010-07-02,2010,train,test,train
12,2000,1124,images/t001/anuJvqUqBB.JPG,2010-07-02 14:10:48,t001,2010-07-02,2010,train,train,train
13,2000,1124,images/t001/dLFculJDGP.JPG,2010-07-02 14:08:52,t001,2010-07-02,2010,train,test,train
14,2000,1333,images/t001/iiWUAXGTRk.JPG,2014-07-14 14:50:11,t001,2014-07-14,2014,test,train,train
15,2000,1124,images/t001/kTIpheVAuj.JPG,2010-07-02 14:07:24,t001,2010-07-02,2010,train,test,train
16,2000,1333,images/t001/oYBbBMeIrc.JPG,2014-07-14 14:50:05,t001,2014-07-14,2014,test,test,train
17,2000,1124,images/t001/rArWeMiEhi.JPG,2010-07-02 14:09:23,t001,2010-07-02,2010,train,test,train
18,2000,1124,images/t001/tIpzeVcJbR.JPG,2010-07-02 14:10:41,t001,2010-07-02,2010,train,train,train
19,2000,1333,images/t001/txgBopXzbZ.jpg,2014-07-14 14:50:10,t001,2014-07-14,2014,test,train,train
